2017-2-16,9,69,5,9
2017-2-17,9,62,0,8
2017-2-18,8,66,2,8
2017-2-19,8,54,6,10
2017-2-20,10,50,5,9
2017-2-21,9,42,3,10
2017-2-22,10,35,5,12
2017-2-23,12,60,3,12
2017-2-24,12,63,3,12
2017-2-25,12,52,3,9
2017-2-26,9,80,5,9
2017-2-27,9,73,14,9
2017-2-28,9,78,23,9
2017-3-1,9,65,10,9
2017-3-2,9,78,3,10
2017-3-3,10,81,13,8
2017-3-4,8,74,14,4
2017-3-5,4,88,21,8
2017-3-6,8,67,23,13
2017-3-7,13,49,18,13
2017-3-8,13,50,2,12
2017-3-9,12,39,2,14
2017-3-10,14,35,3,17
2017-3-11,17,44,6,16
2017-3-12,16,49,11,12
2017-3-13,12,43,24,11
2017-3-14,11,47,14,14
2017-3-15,14,38,10,13
2017-3-16,13,38,10,12
2017-3-17,12,30,6,12
2017-3-18,12,31,3,13
2017-3-19,13,34,3,14
2017-3-20,14,35,5,16
2017-3-21,16,61,16,11
2017-3-22,11,76,21,8
2017-3-23,8,89,8,2
2017-3-24,2,77,8,4
2017-3-25,4,82,6,4
2017-3-26,4,66,11,10
2017-3-27,10,79,19,9
2017-3-28,9,65,3,12
2017-3-29,12,52,2,12
2017-3-30,12,52,5,14
2017-3-31,14,53,16,14
2017-4-1,14,42,21,12
2017-4-2,12,41,3,12
2017-4-3,12,35,5,12
2017-4-4,12,28,3,13
2017-4-5,13,38,11,13
2017-4-6,13,35,8,13
2017-4-7,13,32,5,16
2017-4-8,16,34,3,16
2017-4-9,16,30,6,17
2017-4-10,17,36,2,17
2017-4-11,17,26,5,19
2017-4-12,19,27,5,19
2017-4-13,19,27,8,19
2017-4-14,19,34,8,18
2017-4-15,18,33,8,19
2017-4-16,19,30,6,18
2017-4-17,18,29,5,19
2017-4-18,19,23,6,21
2017-4-19,21,46,13,18
2017-4-20,18,53,14,13
2017-4-21,13,27,10,13
2017-4-22,13,23,5,14
2017-4-23,14,23,3,17
2017-4-24,17,35,5,19
2017-4-25,19,53,14,18
2017-4-26,18,43,11,14
2017-4-27,14,34,14,9
2017-4-28,9,40,14,11
2017-4-29,11,95,5,9
2017-4-30,9,75,23,12
2017-5-1,12,39,6,11
2017-5-2,11,35,3,16
2017-5-3,16,33,3,19
2017-5-4,19,35,3,20
2017-5-5,20,60,18,17
2017-5-6,17,52,10,14
2017-5-7,14,33,5,18
2017-5-8,18,29,3,21
2017-5-9,21,27,10,22
2017-5-10,22,50,18,19
2017-5-11,19,73,21,14
2017-5-12,14,78,18,13
2017-5-13,13,63,13,14
2017-5-14,14,45,5,17
2017-5-15,17,37,3,19
2017-5-16,19,31,3,22
2017-5-17,22,35,8,23
2017-5-18,23,55,13,17
2017-5-19,17,31,8,16
2017-5-20,16,26,3,18
2017-5-21,18,34,8,20
2017-5-22,20,32,2,21
2017-5-23,21,25,6,26
2017-5-24,26,25,3,24
2017-5-25,24,24,5,26
